District,Rooms,Price,Area,Floor_Number,Total_Floors,Is_First_Floor,Is_Last_Floor,Has_Gas,Has_Tec,Construction_Type,Construction_Year,Has_Garage,Is_Closed_Complex,Description,Url
Младост 4,3,242000,71,8,8,0,1,0,0,Панел,0,1,0,"БЕЗ КОМИСИОННА ОТ КЛИЕНТА! Двустаен преустроен на тристаен апартамент в Младост-4, блок 436, на комуникативно и тихо място, в непосредствена близост до метростанция 'Бизнес парк', магазини, детска градина, училище и други. Жилището е след основен ремонт, с нова ПВЦ дограма, нова ВиК и ел. Инсталация, подови настилки и други екстри. Използвани са висококачествени материали. Разпределението е следното: коридор, просторна дневна с напълно обзаведена и оборудвана поръчкова кухня с нови електроуреди в гаранция, две спални, като едната е напълно обзаведена, баня с тоалетна и балкон. Имотът не е обитаван след ремонта, Вие ще сте първи. Ниски входни такси. Покривът е в гаранция. Светъл, слънчев, с отлично местоположение, имот подходящ за живеене или отдаване под наем.",https://www.imot.bg/obiava-1c176503101398778-prodava-tristaen-apartament-grad-sofiya-mladost-4
Банишора,1,101000,50,5,10,0,0,0,0,Тухла,2026,1,0,"Компания ЕКС представя на Вашето внимание едностаен апартамент в Банишора. МЕСТОПОЛОЖЕНИЕ: Намира се в близост до метростанция, множество магазини, училище и всичко най- необходимо. СТРОИТЕЛСТВО: Апартаментът е ситуиран на 5-ти етаж в нова тухлена сграда. РАЗПРЕДЕЛЕНИЕ: Жилището разполага с площ от 50 кв.м. разпределена във входно антре, дневна зона с място за кухня, кът за спане, тераса и баня с тоалетна. СЪСТОЯНИЕ: НА ШПАКЛОВКА И ЗАМАЗКА. Заповядайте да Ви го покажем. Използвайки нашите услуги Вие ще превърнете закупуването на новия си дом в едно приятно изживяване, ще получите персонален консултант, съдействие при кандидатстване за кредит от всички банки в България, интериорни дизайнери и екип, който да се погрижи за нужните документи по Вашата сделка. На Ваше разположение сме всеки ден, от понеделник до неделя от 09:00 до 20:00ч. Възползвайте се от безплатна консултация в наш офис, където ще ви спестим време и ще ви запознаем с всички актуални имоти в България, отговарящи на Вашето търсене. Свържете се с нас на 0887 77 99 90 или на 0886 12 12 57 и цитирайте кода към имота: 97240",https://www.imot.bg/obiava-1a176893112587183-prodava-ednostaen-apartament-grad-sofiya-banishora
Витоша,1,98200,47,3,4,0,0,0,0,Тухла,2026,1,1,"Вижте Видео https://youtube.com/shorts/UkMKxQpW11U Предлагаме ви стилно жилище със статут на Апартамент, тип студио в жилищен комплекс в кв. Витоша, София идеално за лично ползване или като надеждна инвестиция в близост до 2 бъдещи метростанции и парк. Комплексът се намира в тихия и перспективен южен квартал Витоша, на ул. Проф. Васил Арнаудов , в непосредствена близост до бул. Симеоновско шосе и Околовръстния път с лесен достъп до центъра на София. Разположението е отличено с югоизточно изложение, непоследен етаж. Чиста площ: 41,77 кв.м, с общи части 47 кв.м. Етаж: 3 от общо 4 Изложение: югоизток Статус: Акт 14 (завършване до края на 2026 г.) Цена: 98 200 Разпределението е ефективно добре оформено студио с дневна зона, кухненски кът и баня. Жилището се намира в сграда, която използва висококачествени материали, минимални общи части и дизайнерски подход, достъпен лукс, обгърнат от зеленина. Основни предимства : Мащабен проект от 17 сгради, изграждани поетапно, с концепция за самостоятелни здания без задължителни такси поддръжка (етажната собственост решава). Топ локация в кв. Витоша, зад хотел Макси , на тиха улица с бърз достъп до бул. Симеоновско шосе, Околовръстен път, Студентски град и молове. В близост до бъдеща метростанция (191 м), одобрена по ПУП достъп до автобуси и бърз транспорт до центъра. Модерна концепция за достъпен лукс просторни помещения, реални светли площи, минимални общи части, големи прозорци и висок таван. Функционални разпределения от 2 до 3 апартамента на етаж, логични и светли помещения, допълнителни панорамни седалки/лежанки в някои имоти (подарък към площта). Премиум материали: 7-камерна дограма REHAU, троен стъклопакет фасада от немски клинкер двойни зидове между апартаменти шумо- и топлоизолации висок клас Висока енергийна ефективност и комфорт инверторни климатици Fujitsu във всяко помещение, включени в цената. Подземни гаражи и паркоместа, свободна препродажба, съобразени със ЗУТ; склад / мазе към всеки апартамент. Богата зелена среда & удобства вертикално озеленяване, детски площадки към всяка сграда, велосипедни зони, планирани обществени зони и парк наблизо. Достъпни цени за сегмента политика целяща максимално добро съотношение цена/качествена реална площ/материали/локация, идеално за жилище или инвестиция. Допълнително предлагаме и гараж в съседната сграда ЗП 17 кв.м (цена по договаряне). За контакти За подробности, планове, условия по покупка и оглед моля свържете се с нас на 0889 866 507. С радост ще ви предоставим допълнителна информация и организираме оглед на място.",https://www.imot.bg/obiava-1a176183615194066-prodava-ednostaen-apartament-grad-sofiya-vitosha#playertag
Малинова долина,1,89000,42,1,4,1,0,1,0,Тухла,2028,1,0,"ДИРЕКТНО ОТ ИНВЕСТИТОР НА 'ETERNAL' IV /без комисионна/ - нов, жилищен комплекс, в обособяващ се, предпочитан за живеене район, в близост до РИНГ МОЛ, до изграждащия се нов ритейл парк, с търговски и офис площи, хипермаркети. Зона с ограничени градоустройствени параметри - ниско застрояване до 4 етажа, нова инфраструктура, перспективен, развиващ се район. Софбултрейд, напредва в строителството на 4-ти обект в кв. Малинова долина. Акт 14 - началото на 26г., завършване на комплекса края на 27г. Проекта представлява терен с площ от 15053кв.м., с предвидено богато озеленяване, алеи, кътове за отдих, детски площадки, спорт, място и среда за спокоен живот в хармония с природата, дори и в градската среда, в подножието на Витоша. Качествено строителство, уединение и спокойствие на едно място. Сгради с изчистен дизайн, проектирани функционални 1-ст. - 35-51кв.м., 2-ст. апартаменти с площ от 65-80кв.м. и 3-ст. апартаменти от 100 - 105кв.м. Партерните апартаменти. с обособени индивидуални дворни пространства. Без промяна в цената на до края на строителството - вписано в договор. Няма наложена такса за поддръжка на комплекса, ще се решава от бъдещите собственици. Панорамни, слънчеви апартаменти с благоприятно разположение преобладаващо изложение юг, изток и запад. Локация: в близост до Околовръстен път, лесен достъп до ключови локации, комфорт и удобства. За допълнителна информация отдел продажби (директно от инвеститор) - 0899800300 / 0897 800 300 за арх. разпределения и ценова листа, запитване на e-mail: [email protected] * в сайта на Софбултрейд може да се разгледат изпълнените сгради с Раз-е за ползаване- ETERNAL I и II, с цел обща представа, близка като визия с новия комплекс - ETERNAL IV.",https://www.imot.bg/obiava-1a169744776519406-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina
Малинова долина,1,95000,36,3,4,0,0,1,0,Тухла,2028,1,1,"Референтен номер: 2103666. Революшън Естейт Ви представя едностаен апартамент в комплекс от 8 сгради ПРЕД АКТ 14 в ж.к. Малинова долина. Квадратура: ЗП - 29.93 кв.м. РЗП - 36.47 кв.м. Етаж: 3 от 4 Изложение: Изток Разпределение: дневна с кухненски бокс и трапезария, баня с тоалетна и тераса. Отопление: газ и електричество Всяка сграда е с отделен вход и осигурен достъп до сутерена с гаражи и паркоместа, който е на 2 нива. Очаквано завършване: Акт 15 - 31.07.2028г. / Акт 16 - 31.12.2028г. Продажбата е от ФЛ с тристранно споразумение. Комплексът е локализиран е в непосредствена близост до Ринг мол, с бърз достъп до Околовръстен път и бул. Св. Климент Охридски. Информация за горепосочения имот, може да получите чрез формата на запитване или чрез директна връзка с нас на посочения телефон.",https://www.imot.bg/obiava-1a176770660009741-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina
Малинова долина,1,73900,25,2,4,0,0,1,0,Тухла,2026,1,1,"Революшън Естейт Ви представя едностаен апартамент в луксозен жилищен комплекс от две сгради В СТРОЕЖ в ж.к. Малинова долина. Комплексът е локализиран в близост до бул. Живко Сталев и Детска градина (190). Имотът е разположен на втори жилищен етаж от общо четири. Площ 25.19 кв.м. Разпределение: входно антре, еднопространственно помещение с кухненски бокс и спален кът, баня с тоалетна. Степен на завършеност към момента: В СТРОЕЖ. Въвеждане в експлоатация: краят на 2026г. Гъвкави схеми на плащане! Предимства на комплекса: - Френски прозорци 5 камерна дограма с троен стъклопакет. - Вентилируема окачена фасада. - Контролиран достъп, жива охрана и система за видеонаблюдение. - Възможност за покупка на подземно паркомясто/ гараж с опция за монтиране на зарядна станция за електромобили. - Избор на етаж и изложение. За повече информация не се колебайте да се свържете с нас и през уикенда. Цитирайте референтен номер: 12656 в сграда с ID: 1010.",https://www.imot.bg/obiava-1a176198854148407-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina
Малинова долина,1,73900,26,1,3,1,0,0,0,Тухла,2027,1,1,"FRENI PARK RЕSIDENCE - жилищна сграда от последно поколение! Предлагаме едностаен апартамент в кв.Малинова долина, разположен на първи етаж в модерна новострояща се сграда с изчистен дизайн и висококачествени материали. Разпределение: дневна с кухненски бокс, спален кът, баня с тоалетна. Локация: тих район, до детска градина, с нови сгради и отлична инфраструктура, близо до Студентски град, околовръстен път и бул. Симеоновско шосе . Перфектен достъп до центъра и Витоша! Цена: от 73 900 Гъвкави схеми на плащане Подземни паркоместа Идеален както за инвестиция, така и за първи дом! Обади се днес! Имотите в Малинова долина не чакат, вземи своя докато можеш. За повече информация: https://freniparkresidence.sisimmo.bg/",https://www.imot.bg/obiava-1a176192300417999-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina
Илинден,1,128000,35,4,11,0,0,0,0,ЕПК,1980,1,0,"Апартаментът се намира до крстовището на бул. 'Вардър' с ул. 'Найчо Цанов'. Входът е поддържан. Има два асансьора. Имотът се продава с обзавеждането, което е показано на снимките. Югозападно изложение. Състои се от входно антре, стая с кухненски бокс, тераса, баня и тоалетна. Към апартаментът има избено помещение 2 кв.м. За допълнителна информация и огледи Ира Зашева 0883 73 63 99",https://www.imot.bg/obiava-1a175422544925148-prodava-ednostaen-apartament-grad-sofiya-ilinden-bul-vardar
Горубляне,1,77381,40,2,4,0,0,1,0,Тухла,2027,1,1,"TAUPE е със сертификат за проектни енергийни харектеристики Клас 'А' TAUPE впечатлява с елегантна съвременна архитектура, подчертана от изчистени линии, балансирани обеми и ненатрапчива модернистична естетика. Четириетажната сграда съчетава усещане за мащаб и интимност. Концепцията ѝ е изградена около три основни принципа светлина, въздух и свобода на движение. Панорамните прозорци, високите тавани и внимателно подбраните ориентации на апартаментите създават усещане за отвореност и лекота, като въвеждат природата директно в жилището. Сградата включва 30 жилищни единици от умело проектирани студиа до просторни двустайни, тристайни и четиристайни апартаменти. Всеки от тях е организиран с мисъл за ефективно използване на пространството при минимален процент общи части се постига оптимална функционалност и максимална реална жилищна площ.",https://www.imot.bg/obiava-1a175629954701433-prodava-ednostaen-apartament-grad-sofiya-gorublyane-ul-tsaritsa
Малинова долина,1,91107,43,4,4,0,1,0,0,Тухла,2028,1,0,"Модерен живот и бъдеща стойност. Новият проект в Малинова долина. Представяме Ви модерен жилищен проект от две елегантни сгради, създаден за хора, които ценят качеството, комфорта и съвременната градска естетика. Архитектурата впечатлява с изчистени хоризонтални линии, частично окачени фасади, стилни контрастни акценти и дискретно вградено фасадно осветление, което подчертава детайлите. Просторните панорамни прозорци и широките остъкления внасят изобилие от естествена светлина и превръщат всеки дом във всекидневен лукс. Точното място: В подножието на Витоша, в спокоен участък на Малинова долина под Околовръстния път, се оформя квартал от ново поколение. Районът диша по- широко с ниско застрояване, свободни околосградни пространства и усещане за ред и хармония, което рядко се среща в града. Инфраструктурата се развива динамично: планираната нова метростанция, бъдещото продължение на бул. Едуард Генов и съвременните пътни връзки превръщат локацията в един от най-перспективните райони на София. Тук спокойствието върви ръка за ръка с удобството с бърза връзка към Околовръстния път, ключови градски точки и самата планина. Какво прави този проект различен? Две елегантни сгради в съвременна архитектурна линия. Фасади, които комбинират светли обеми с контрастни графитени акценти и топли дървесни детайли, създаващи характерен облик. Зони с много светлина и пространство благодарение на широките остъкления. Жилища с функционални разпределения, подходящи за модерния начин на живот. Гаражи, паркоместа и среда, която осигурява комфорт и спокойствие. Изпълнение с внимание към детайла. За кого е този проект? За семейства, които искат уют и безопасна среда. За хора, търсещи стил, удобство и престиж. За инвеститори, които познават потенциала на развиващия се район. Описание на Апартамент Предлагаме Ви Апартамент 3 , разположен на партерен етаж, с чиста площ от 38.14 кв.м и обща площ от 42.93 кв.м. Жилището е практично разпределено и създадено да осигурява максимален комфорт: Дневна с кухненски бокс с големи прозорци и излаз към двор 9.47м2 . Баня с тоалетна Антре с място за гардероб Апартаментът се отличава с правилни форми, минимални загуби на площ и отлично изложение. Подходящ както за живеене, така и за инвестиция с висока доходност. Изберете своя нов дом Двустайни и тристайни жилища, всяко създадено така, че да работи за вашето ежедневие. Чисти форми, модерни материали и усещане за простор. Обадете се днес Проектът предлага възможности, които се изчерпват бързо. Свържете се с нас за цени, планове и пълна информация и направете първата стъпка към новия си дом или стабилната инвестиция.",https://www.imot.bg/obiava-1a176915686456084-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina-ul-okolovrasten-pat
