Rooms,Area,Floor_Number,Total_Floors,Construction_Year,Is_First_Floor,Is_Last_Floor,Has_Garage,Is_Closed_Complex,District_Encoded,Construction_Type_Encoded,ext_has_gas,ext_has_tep,ext_is_luxury,ext_is_act16,Price
1,35,4,11,1980,0,0,1,0,32,1,0.0,0.0,0.0,0.0,128000
1,26,1,3,2027,1,0,1,1,56,5,0.0,0.0,0.0,0.0,73900
1,42,1,4,2028,1,0,1,0,56,5,0.0,0.0,0.0,0.0,89000
1,48,5,5,2017,0,1,1,0,0,5,0.0,0.0,0.0,0.0,114999
1,47,3,4,2026,0,0,1,1,7,5,0.0,0.0,1.0,0.0,98200
1,50,5,10,2026,0,0,1,0,0,5,1.0,0.0,0.0,0.0,101000
1,55,3,9,2025,0,0,1,0,56,5,1.0,0.0,0.0,1.0,111667
1,43,5,8,2023,0,0,1,0,56,5,0.0,1.0,1.0,1.0,137000
1,43,4,4,2028,0,1,1,0,56,5,0.0,0.0,0.0,0.0,91107
1,40,3,6,2025,0,0,1,0,57,5,1.0,0.0,1.0,0.0,148000
1,50,6,6,2005,0,1,1,0,3,5,0.0,0.0,0.0,0.0,163000
4,177,5,5,2025,0,1,1,0,57,5,0.0,0.0,1.0,0.0,715000
1,36,3,4,2028,0,0,1,1,56,5,1.0,0.0,0.0,1.0,95000
3,99,4,8,2026,0,0,1,1,56,5,0.0,0.0,1.0,0.0,188100
1,44,5,7,1970,0,0,1,0,51,4,0.0,1.0,0.0,0.0,125000
2,61,5,8,1980,0,0,1,0,46,5,0.0,0.0,0.0,1.0,119900
1,25,2,4,2026,0,0,1,1,56,5,0.0,0.0,1.0,0.0,73900
1,36,3,6,2027,0,0,1,0,21,5,0.0,0.0,0.0,0.0,82000
1,46,3,8,2026,0,0,1,0,56,5,0.0,0.0,0.0,1.0,121000
1,40,2,4,2027,0,0,1,1,14,5,0.0,0.0,0.0,0.0,77381
1,50,2,6,2010,0,0,1,0,44,5,1.0,0.0,1.0,0.0,234900
1,40,1,6,2025,1,0,1,0,56,5,1.0,0.0,0.0,0.0,115000
1,50,5,7,2025,0,0,1,0,47,5,0.0,0.0,0.0,0.0,88551
1,50,4,4,2027,0,1,1,1,56,5,1.0,0.0,1.0,0.0,104000
1,32,2,4,2027,0,0,1,0,56,5,0.0,0.0,0.0,0.0,73000
1,69,3,7,2029,0,0,1,0,43,5,0.0,0.0,0.0,0.0,151400
1,49,7,7,2027,0,1,1,0,43,5,1.0,0.0,1.0,1.0,90000
1,51,4,6,2026,0,0,1,0,22,5,1.0,0.0,0.0,1.0,131000
1,54,3,6,2027,0,0,1,0,42,5,0.0,0.0,0.0,0.0,105300
1,54,4,6,2027,0,0,1,0,42,5,0.0,0.0,0.0,0.0,91800
5,165,0,0,2025,1,1,1,1,70,5,0.0,0.0,0.0,1.0,287500
1,16,1,1,1997,1,1,1,0,44,5,1.0,0.0,0.0,0.0,60000
1,46,2,4,2026,0,0,1,0,102,5,0.0,0.0,0.0,1.0,129000
1,36,1,6,2020,1,0,1,1,7,5,1.0,0.0,0.0,0.0,115000
5,350,0,0,2025,1,1,1,0,105,2,0.0,0.0,0.0,0.0,94500
1,45,7,8,2025,0,0,1,0,21,4,1.0,1.0,0.0,0.0,124490
1,46,3,9,2026,0,0,1,0,7,5,1.0,0.0,0.0,1.0,115000
1,47,6,9,2026,0,0,1,0,7,5,1.0,0.0,0.0,1.0,110450
1,46,3,6,2026,0,0,1,0,56,5,1.0,0.0,0.0,0.0,121000
1,47,3,4,2027,0,0,1,0,88,5,0.0,0.0,1.0,0.0,98200
1,46,7,8,2025,0,0,1,0,66,4,0.0,0.0,0.0,0.0,105500
1,60,0,0,2014,1,1,1,0,88,5,0.0,0.0,0.0,0.0,159999
